PreSens Measurement Studio 2,3.0.3.1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,SensorID,Sensor_Name,Value,O2_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,Reference_Amplitude,BatchID,Calibration_Date,Sensor_Lot,Column_no,Sample_Name,New_Calibration
4/15/2022,13:39:09,243948,B1_SK,9.789,ppm (mg/L),12.472,°C,956.66,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321067,181015-101,4/15/2022 0:00,144301,B_C1,S00,9.789
4/15/2022,13:39:13,243948,B1_SK,9.803,ppm (mg/L),12.456,°C,956.68,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321046,181015-101,4/15/2022 0:00,144301,B_C1,S00,9.803
4/15/2022,13:39:18,243948,B1_SK,9.782,ppm (mg/L),12.438,°C,956.67,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321054,181015-101,4/15/2022 0:00,144301,B_C1,S00,9.782
4/15/2022,13:39:23,243948,B1_SK,9.807,ppm (mg/L),12.442,°C,956.69,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321048,181015-101,4/15/2022 0:00,144301,B_C1,S00,9.807
4/15/2022,13:39:28,243948,B1_SK,9.762,ppm (mg/L),12.447,°C,956.68,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321042,181015-101,4/15/2022 0:00,144301,B_C1,S00,9.762
4/15/2022,13:39:37,243948,B1_SK,9.67,ppm (mg/L),12.447,°C,956.65,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321035,181015-101,4/15/2022 0:00,144301,B_C2,S00,9.67
4/15/2022,13:39:42,243948,B1_SK,9.685,ppm (mg/L),12.452,°C,956.71,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321056,181015-101,4/15/2022 0:00,144301,B_C2,S00,9.685
4/15/2022,13:39:47,243948,B1_SK,9.704,ppm (mg/L),12.443,°C,956.69,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321038,181015-101,4/15/2022 0:00,144301,B_C2,S00,9.704
4/15/2022,13:39:52,243948,B1_SK,9.687,ppm (mg/L),12.443,°C,956.67,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321033,181015-101,4/15/2022 0:00,144301,B_C2,S00,9.687
4/15/2022,13:39:57,243948,B1_SK,9.681,ppm (mg/L),12.448,°C,956.66,mbar,55.71,deg,20,°C,100,%a.s.,22.025,deg,20,°C,973,mbar,0.858,-0.014,0.000373,-0.00013,0,12.94,Humid,321028,181015-101,4/15/2022 0:00,144301,B_C2,S00,9.681
